# The pack's retrieval table.
#
# One row per objective, in the words someone would actually type:
#
#     objective | must be offered | must not be offered
#
# Both skill columns are comma-separated and either may be empty. A `#` opens a
# comment and blank lines are ignored. The test in this package runs the runtime's
# own ranker over the real pack against every row, with no model and no tokens, so
# a row here is checked on every build.
#
# Why the file exists. A skill's description is the only text loaded at discovery,
# so it is the whole of what decides whether the skill is ever reached for. Get it
# wrong and nothing errors: the run simply proceeds without the skill, and the only
# other signal is a counter someone has to think to read weeks later.
#
# The second skill column is the one that catches the harder fault. A description
# that misses its own subject hides one skill. A description that reaches into
# another skill's subject outranks the better match on every objective it takes,
# which degrades the pack around it and is not a failure anyone writing that skill
# would think to look for.
#
# Every skill in the pack must appear in at least one row's offered column before
# it ships. Stating the objectives a skill is for is part of authoring it: a skill
# whose trigger set cannot be written down does not yet have a scope.
#
# Example, once the pack has these skills:
#
#     the tests are failing after my change | systematic-debugging |
#     add a column to the users table       | schema-migration     | test-first
#     why is the list page slow             | performance          | security

the tests are failing after my change and I cannot see why | systematic-debugging |
production is throwing errors and I cannot reproduce it locally | systematic-debugging |
this test passes sometimes and fails other times | systematic-debugging | external-integration
the nightly job has started running past its window | systematic-debugging |
a customer reported that discounts are being applied at the wrong rate | systematic-debugging |

I have to edit unfamiliar code I did not write | reading-unfamiliar-code |
help me understand this codebase before I touch anything | reading-unfamiliar-code |
where in this repository does this behaviour happen | reading-unfamiliar-code |
trace one request through this code from entry to effect | reading-unfamiliar-code |
I am new to this codebase and need to make my first edit | reading-unfamiliar-code |
which callers of this function would notice an edit | reading-unfamiliar-code |
read this package before I edit it | reading-unfamiliar-code |

where should this new code go | structural-boundaries | external-integration
should this be a new package or a change to an existing one | structural-boundaries | domain-language
this package imports something it should not import | structural-boundaries |
how do I keep the database out of the code that holds the rules | structural-boundaries |
should I put an interface here or call the thing directly | structural-boundaries |
the import graph has a cycle in it | structural-boundaries |
should we restructure this into layers with ports and adapters | structural-boundaries |

is this function still used anywhere and can I delete it | deletion |
remove the dead code from this package | deletion |
we have the same logic in two places, get rid of one | deletion |
nobody uses this feature any more, take it out | deletion |
this test keeps failing, can we just skip it | deletion |
clean up the leftovers from the last change | deletion |
how do I retire an endpoint that other people still call | deletion |

can I add this field without breaking the clients | contract-design |
I need to change the signature of an exported function | contract-design | domain-language
design the API for this new service | contract-design |
what should this endpoint return when it fails | contract-design |
is this a breaking change | contract-design | external-integration
we need to version this API | contract-design |
the client crashes when the server sends a field it does not know about | contract-design |

upgrade the dependencies in this project | dependencies |
should I use a library for this or write it myself | dependencies |
add a package that does date parsing | dependencies |
there is a security advisory against something we depend on | dependencies |
this library has not been updated in three years | dependencies |
can we use this package with its licence | dependencies |
should I pin this version or use a range | dependencies |

what should I call this thing | domain-language |
we have three different words for the same concept | domain-language |
this field means two different things depending on who set it | domain-language |
write down the terms this project uses before I start building | domain-language |
the code calls it a client and the invoice calls it a customer | domain-language |
rename this function, it does not do what it says | domain-language |
what are the entities in this domain and how do they relate | domain-language |

this function takes eight parameters and I keep adding more | interface-depth | external-integration
every caller of this has to do the same three steps first | interface-depth |
this class has twelve methods and hardly does anything | interface-depth | external-integration
make this thing easier to call | interface-depth |
this wrapper just forwards to the thing underneath it | interface-depth |
my test only passes if I mock everything the module calls | interface-depth |
should I add an option for this one caller | interface-depth |

write a client for the payment provider's API | external-integration |
this call to the vendor fails every so often in production | external-integration |
should I retry this request when it times out | external-integration |
the API we call started returning 429 and everything fell over | external-integration |
handle the webhook this service sends us | external-integration |
what happens to our checkout if their service is down | external-integration |
I am not sure this SDK method still exists in the version we use | external-integration |

I am about to implement this feature, how should I start | test-first |
write the test for this new endpoint before I build it | test-first |
implement the business rules for the checkout | test-first |
should I write the test before the code or after | test-first |
walk me through red green refactor on this change | test-first |
the test I just wrote passed the first time I ran it | test-first |
the test failure output names no assertion and no values | test-first |
